event_name,event_time_utc,bar_time_utc,bar_lag_min,close_at_T,ret_1,ret_3,ret_6,ret_12,initial_move,pre_vol,trend_label,trend_strength,dir_ret_1,dir_ret_3,dir_ret_6,dir_ret_12,behavior_6,trend_agrees
CPI,2024-12-11 13:30:00+00:00,2024-12-11 13:30:00+00:00,0.0,1.0514,0.0005136009130684868,0.0014742248430665422,0.0008750237778200799,-0.0007799124976220477,1,0.0002519926419513473,down,-0.0026408190824654953,0.0005136009130684868,0.0014742248430665422,0.0008750237778200799,-0.0007799124976220477,drift,False
NFP,2024-12-06 13:30:00+00:00,2024-12-06 13:30:00+00:00,0.0,1.06143,0.0007160151870588469,-0.0014602941315019946,-0.002119781803793076,-0.0029959582826942733,1,0.00012882298738365794,down,-0.009922338618886806,0.0007160151870588469,-0.0014602941315019946,-0.002119781803793076,-0.0029959582826942733,reversion,False
CPI,2025-01-15 13:30:00+00:00,2025-01-15 13:30:00+00:00,0.0,1.03403,-0.0004351904683617124,-0.0006479502528939667,-0.0001740761873447279,-0.0006769629507847189,-1,0.0003494619680463173,down,-0.004282915257727615,0.0004351904683617124,0.0006479502528939667,0.0001740761873447279,0.0006769629507847189,drift,True
NFP,2025-01-10 13:30:00+00:00,2025-01-10 13:30:00+00:00,0.0,1.02241,0.001026985260316307,0.0022789291967018547,0.0033841609530423397,0.003296133645015085,1,0.00027329571847858214,up,0.0018469733938624167,0.001026985260316307,0.0022789291967018547,0.0033841609530423397,0.003296133645015085,drift,True
FOMC,2025-01-29 19:00:00+00:00,2025-01-29 19:00:00+00:00,0.0,1.04024,-0.00018265015765605485,-0.0002307159886180285,0.0,0.0012208721064368628,-1,0.00016788381774516842,down,-0.0014511669360594004,0.00018265015765605485,0.0002307159886180285,-0.0,-0.0012208721064368628,flat,True
ECB,2025-01-23 13:45:00+00:00,2025-01-23 13:45:00+00:00,0.0,1.04074,0.0002690393373946019,0.0005669043180814521,0.0006629897957223509,0.0002402136941023536,1,0.00037425352389398224,down,-0.0006993952964946537,0.0002690393373946019,0.0005669043180814521,0.0006629897957223509,0.0002402136941023536,drift,False
BoE,2025-02-06 12:00:00+00:00,2025-02-06 12:00:00+00:00,0.0,1.03596,7.722305880543652e-05,-0.00022201629406536205,-0.0001834047646626438,-7.722305880543652e-05,1,0.0002620638556911301,down,-0.002258322452266759,7.722305880543652e-05,-0.00022201629406536205,-0.0001834047646626438,-7.722305880543652e-05,reversion,False
CPI,2025-02-12 13:30:00+00:00,2025-02-12 13:30:00+00:00,0.0,1.03243,-0.00017434596050102088,0.00025183305405707796,0.0003390060343074809,0.002615189407514453,-1,0.00025381530447568735,down,-0.002188322969875256,0.00017434596050102088,-0.00025183305405707796,-0.0003390060343074809,-0.002615189407514453,reversion,True
NFP,2025-02-07 13:30:00+00:00,2025-02-07 13:30:00+00:00,0.0,1.03688,0.0006461692770619054,-0.0008004783581514818,-0.0002314636216341505,0.001456291952781325,1,0.0001361440801325986,up,0.0026326318780407476,0.0006461692770619054,-0.0008004783581514818,-0.0002314636216341505,0.001456291952781325,reversion,True
FOMC,2025-03-19 18:00:00+00:00,2025-03-19 18:00:00+00:00,0.0,1.0892,-4.590525156067157e-05,-0.00043150936467129127,0.00034887991186196014,0.0013312522952625334,-1,0.0002265229007571141,up,0.006004218577364773,4.590525156067157e-05,0.00043150936467129127,-0.00034887991186196014,-0.0013312522952625334,reversion,False
ECB,2025-03-06 13:45:00+00:00,2025-03-06 13:45:00+00:00,0.0,1.08292,-0.00016621726443326283,0.00042477745355142107,-0.0002954973589924445,4.61714623424477e-05,-1,0.001054367994318423,up,0.005104163777081228,0.00016621726443326283,-0.00042477745355142107,0.0002954973589924445,-4.61714623424477e-05,drift,False
CPI,2025-03-12 12:30:00+00:00,2025-03-12 12:30:00+00:00,0.0,1.0906,-0.0012286814597470372,-0.0008802494039978653,-0.0020172382174949385,-0.0016504676324958956,-1,0.0001783983506999468,up,0.001912273863297731,0.0012286814597470372,0.0008802494039978653,0.0020172382174949385,0.0016504676324958956,drift,False
NFP,2025-03-07 13:30:00+00:00,2025-03-07 13:30:00+00:00,0.0,1.08834,-0.0010474667842771017,-0.0016447066174175168,-0.0026094786555673553,-0.001332304243159466,-1,0.0004285659632578941,down,-0.0017403092254708596,0.0010474667842771017,0.0016447066174175168,0.0026094786555673553,0.001332304243159466,drift,True
FOMC,2025-05-07 18:00:00+00:00,2025-05-07 18:00:00+00:00,0.0,1.13497,0.00039648625073795913,8.810805572011165e-06,0.0,-0.002590376838154262,1,0.000335740804794869,down,-0.004027156218035732,0.00039648625073795913,8.810805572011165e-06,0.0,-0.002590376838154262,flat,False
ECB,2025-04-17 13:45:00+00:00,2025-04-17 13:45:00+00:00,0.0,1.13607,0.00015844094113925112,-6.161592155414235e-05,0.0013995616467294978,0.00031688188227850224,1,0.0005006053333569343,down,-0.0011807788787498996,0.00015844094113925112,-6.161592155414235e-05,0.0013995616467294978,0.00031688188227850224,drift,False
BoE,2025-03-20 12:00:00+00:00,2025-03-20 12:00:00+00:00,0.0,1.08528,-1.842842400130015e-05,-0.0001474273920093782,-0.0015848444641013782,-0.001520344980097237,-1,0.0002951790284732299,up,0.014885765152635289,1.842842400130015e-05,0.0001474273920093782,0.0015848444641013782,0.001520344980097237,drift,False
CPI,2025-04-10 12:30:00+00:00,2025-04-10 12:30:00+00:00,0.0,1.11235,0.0001618195711781984,-0.0009529374747157468,-0.002283453948847024,-0.0011057670697171235,1,0.00035451761932224653,down,-0.0007474761687011888,0.0001618195711781984,-0.0009529374747157468,-0.002283453948847024,-0.0011057670697171235,reversion,False
NFP,2025-04-04 12:30:00+00:00,2025-04-04 12:30:00+00:00,0.0,1.10553,-0.0012120883196294057,-0.0023427677222688397,-0.0020894955360775485,-0.002541767297133483,-1,0.0008570601814302499,up,0.0014789643183283907,0.0012120883196294057,0.0023427677222688397,0.0020894955360775485,0.002541767297133483,drift,False
CPI,2025-05-14 12:30:00+00:00,2025-05-14 12:30:00+00:00,0.0,1.12269,-0.0005166163411093222,0.0003651943100945243,-0.0008461819380238591,-0.0003830086666844191,-1,0.00037017012187405866,down,-0.003297804725178488,0.0005166163411093222,-0.0003651943100945243,0.0008461819380238591,0.0003830086666844191,drift,True
